iter	Accuracy	MultiClass
0	0.60875	1.319946161
1	0.67125	1.234935049
2	0.7475	1.176637476
3	0.7425	1.127228083
4	0.7575	1.084647186
5	0.79	1.058236938
6	0.78375	1.018434592
7	0.78375	0.9895604077
8	0.8	0.9667122672
9	0.8	0.9406432551
10	0.79125	0.9326445626
11	0.795	0.9100549239
12	0.8125	0.8826046303
13	0.81	0.8740565742
14	0.8225	0.8554923442
15	0.82	0.8312783199
16	0.82625	0.8115090671
17	0.83375	0.8009461029
18	0.84125	0.7931390113
19	0.84125	0.7783812146
20	0.84125	0.7626024278
21	0.845	0.7577452622
22	0.84875	0.7436182066
23	0.85625	0.7312155605
24	0.86125	0.7259423118
25	0.85875	0.7239074883
26	0.86	0.7211619999
27	0.8575	0.7133164051
28	0.86375	0.7026784195
29	0.8625	0.7004496779
30	0.8675	0.6913687479
31	0.8725	0.6788074588
32	0.87	0.6675188279
33	0.87375	0.6639272232
34	0.87875	0.6592030615
35	0.88	0.6556223263
36	0.875	0.6530852184
37	0.87625	0.6496273181
38	0.8775	0.6479112475
39	0.87875	0.6449777967
40	0.8825	0.641602274
41	0.885	0.6397383591
42	0.8825	0.6347768981
43	0.88375	0.6291515766
44	0.88375	0.6268195002
45	0.88875	0.6234313511
46	0.88625	0.6204472771
47	0.89	0.6135040415
48	0.89	0.613258951
49	0.89125	0.6099067965
50	0.8925	0.6039373313
51	0.895	0.5983885599
52	0.895	0.5940634362
53	0.9	0.587620566
54	0.89625	0.5849785874
55	0.90375	0.5821080521
56	0.90375	0.5743385431
57	0.90625	0.5711465271
58	0.90625	0.5690833845
59	0.90625	0.5665617102
60	0.91125	0.5603592347
61	0.9125	0.5556520303
62	0.9125	0.5528569185
63	0.915	0.549862452
64	0.91375	0.5430644006
65	0.91125	0.5417292783
66	0.915	0.5384863014
67	0.915	0.534846664
68	0.9175	0.5321951656
69	0.915	0.5295068422
70	0.91625	0.5253184604
71	0.92	0.5219635929
72	0.9225	0.5186310626
73	0.925	0.5159360277
74	0.9275	0.5124429126
75	0.93	0.5041862544
76	0.93	0.5007192
77	0.935	0.4981392028
78	0.93875	0.4931770958
