iter	Passed	Remaining
0	212	84634
1	260	51892
2	305	40457
3	349	34586
4	391	30935
5	441	28982
6	490	27548
7	551	27012
8	622	27060
9	673	26253
10	700	24762
11	758	24536
12	810	24127
13	866	23896
14	910	23372
15	966	23189
16	1016	22894
17	1075	22827
18	1191	23894
19	1322	25129
20	1413	25515
21	1518	26094
22	1612	26437
23	1695	26570
24	1787	26810
25	1854	26679
26	1913	26429
27	1956	25997
28	2002	25611
29	2050	25293
30	2091	24896
31	2136	24564
32	2185	24300
33	2248	24201
34	2300	23992
35	2356	23825
36	2410	23650
37	2485	23676
38	2630	24350
39	2724	24519
40	2811	24619
41	2884	24582
42	2956	24546
43	3027	24496
44	3092	24393
45	3181	24480
46	3260	24488
47	3477	25502
48	3520	25214
49	3605	25237
50	3666	25090
51	3722	24912
52	3790	24816
53	3863	24755
54	3930	24657
55	4014	24658
56	4105	24705
57	4148	24464
58	4254	24591
59	4324	24502
60	4392	24412
61	4455	24290
62	4519	24177
63	4580	24045
64	4640	23917
65	4696	23768
66	4756	23641
67	4830	23584
68	4895	23485
69	4962	23393
70	5020	23261
71	5071	23103
72	5133	22993
73	5182	22830
74	5239	22702
75	5293	22566
76	5362	22493
77	5472	22590
78	5559	22590
79	5662	22648
80	5749	22643
81	5825	22592
82	5898	22527
83	5978	22490
84	6037	22375
85	6099	22268
86	6171	22202
87	6234	22105
88	6304	22031
89	6356	21893
90	6415	21784
91	6485	21712
92	6551	21628
93	6637	21606
94	6718	21571
95	6796	21521
96	6865	21444
97	6940	21388
98	7015	21329
99	7066	21198
100	7122	21084
101	7184	20989
102	7248	20900
103	7302	20782
104	7363	20688
105	7439	20634
106	7555	20689
107	7751	20958
108	8000	21357
109	8256	21766
110	8405	21884
111	8669	22293
112	8899	22602
113	9079	22778
114	9160	22703
115	9239	22621
116	9321	22546
117	9463	22615
118	9589	22644
119	9670	22565
120	9754	22492
121	9837	22416
122	9927	22357
123	9999	22256
124	10068	22149
125	10144	22059
126	10200	21927
127	10293	21873
128	10358	21760
129	10412	21625
130	10467	21495
131	10521	21362
132	10574	21228
133	10637	21115
134	10697	20998
135	10768	20904
136	10829	20788
137	10901	20697
138	10972	20603
139	11031	20486
140	11083	20358
141	11146	20252
142	11202	20132
143	11264	20025
144	11331	19927
145	11393	19821
146	11454	19713
147	11504	19589
148	11568	19488
149	11620	19367
150	11712	19313
151	11802	19256
152	11891	19196
153	11968	19118
154	12035	19024
155	12114	18948
156	12193	18873
157	12266	18787
158	12373	18755
159	12441	18661
160	12499	18554
161	12555	18445
162	12610	18335
163	12658	18215
164	12719	18115
165	12776	18010
166	12827	17897
167	12880	17787
168	12936	17681
169	12989	17573
170	13037	17459
171	13092	17354
172	13149	17253
173	13197	17141
174	13255	17043
175	13305	16933
176	13359	16831
177	13413	16729
178	13493	16659
179	13556	16568
180	13607	16464
181	13661	16363
182	13718	16267
183	13774	16170
184	13833	16076
185	13896	15988
186	13948	15887
187	14009	15798
188	14060	15697
189	14115	15601
190	14166	15501
191	14223	15408
192	14286	15322
193	14369	15257
194	14475	15217
195	14552	15146
196	14626	15072
197	14698	14995
198	14778	14926
199	14847	14847
200	14913	14764
201	15012	14715
202	15069	14623
203	15124	14531
204	15174	14434
205	15227	14340
206	15284	14250
207	15337	14158
208	15397	14071
209	15447	13976
210	15504	13887
211	15562	13800
212	15619	13712
213	15672	13621
214	15720	13526
215	15779	13442
216	15836	13355
217	15908	13281
218	15992	13217
219	16050	13132
220	16104	13043
221	16154	12952
222	16205	12862
223	16259	12775
224	16311	12686
225	16369	12602
226	16421	12515
227	16480	12432
228	16566	12370
229	16625	12288
230	16679	12202
231	16727	12113
232	16779	12026
233	16840	11946
234	16900	11866
235	16968	11791
236	17038	11718
237	17113	11648
238	17176	11570
239	17245	11497
240	17323	11429
241	17381	11348
242	17432	11263
243	17479	11175
244	17520	11084
245	17564	10995
246	17613	10910
247	17659	10823
248	17701	10734
249	17741	10644
250	17787	10559
251	17834	10474
252	17883	10390
253	17925	10303
254	17969	10218
255	18013	10132
256	18057	10047
257	18106	9965
258	18158	9885
259	18200	9800
260	18245	9716
261	18291	9634
262	18337	9552
263	18389	9473
264	18444	9396
265	18493	9316
266	18534	9232
267	18578	9150
268	18651	9083
269	18694	9001
270	18737	8919
271	18781	8838
272	18822	8756
273	18873	8679
274	18915	8598
275	18958	8517
276	19002	8437
277	19046	8358
278	19086	8277
279	19133	8200
280	19178	8121
281	19223	8043
282	19268	7966
283	19313	7888
284	19362	7812
285	19401	7733
286	19444	7655
287	19499	7583
288	19560	7513
289	19630	7446
290	19683	7372
291	19730	7297
292	19784	7225
293	19832	7150
294	19884	7077
295	19930	7002
296	19972	6926
297	20014	6850
298	20063	6777
299	20111	6703
300	20154	6628
301	20206	6556
302	20251	6483
303	20300	6410
304	20342	6336
305	20390	6263
306	20432	6189
307	20477	6116
308	20517	6042
309	20562	5969
310	20606	5896
311	20664	5828
312	20735	5763
313	20782	5692
314	20825	5619
315	20877	5549
316	20921	5477
317	20963	5405
318	21010	5334
319	21052	5263
320	21098	5192
321	21143	5121
322	21190	5051
323	21232	4980
324	21280	4910
325	21323	4840
326	21363	4769
327	21413	4700
328	21455	4630
329	21499	4560
330	21538	4489
331	21583	4420
332	21626	4351
333	21675	4283
334	21722	4214
335	21765	4145
336	21827	4080
337	21884	4014
338	21962	3952
339	22024	3886
340	22086	3821
341	22141	3755
342	22196	3688
343	22244	3621
344	22296	3554
345	22349	3488
346	22388	3419
347	22437	3352
348	22484	3285
349	22526	3218
350	22568	3150
351	22612	3083
352	22657	3016
353	22699	2949
354	22743	2882
355	22802	2818
356	22853	2752
357	22912	2688
358	22965	2622
359	23011	2556
360	23056	2490
361	23109	2425
362	23153	2360
363	23200	2294
364	23242	2228
365	23287	2163
366	23330	2097
367	23377	2032
368	23424	1967
369	23465	1902
370	23509	1837
371	23551	1772
372	23595	1707
373	23637	1643
374	23688	1579
375	23727	1514
376	23777	1450
377	23821	1386
378	23872	1322
379	23916	1258
380	23964	1195
381	24017	1131
382	24072	1068
383	24117	1004
384	24163	941
385	24210	878
386	24253	814
387	24297	751
388	24336	688
389	24391	625
390	24472	563
391	24527	500
392	24578	437
393	24630	375
394	24680	312
395	24735	249
396	24788	187
397	24837	124
398	24899	62
399	24944	0
